Domain,Website,#articles,Country,Language,Type,Creation Date
addustuor[.]com,Addustour,0,Jordan,Arabic,Media,10/19/2016
al-jazirah[.]org,Al Jazeera,8,Qatar,English,Media,5/11/2017
al-shargh[.]com,Al Sharq,2,Qatar,Arabic,Media,2/5/2017
al-watan[.]co,Al Watan News,0,Qatar,Arabic,Media,10/4/2016
alarabyia[.]org,Al Arabyia,2,Saudi Arabia,Arabic,Media,5/21/2017
alettehad[.]net,Al Ittihad,1,Abu Dhabi Arabic daily,Arabic,Media,6/7/2017
aliraq-news[.]com,Al Iraq News,2,Iraq,Arabic,Media,10/26/2016
aljlazeera[.]com,Al Jazeera,2,Qatar,English,Media,4/29/2017
alryiadh[.]com,Al Riyadh,13,Saudi Arabia,Arabic,Media,10/4/2016
alwatannewspaper[.]net,Al Watan News,0,Qatar,Arabic,Media,30/09/2018
bbc-arabic[.]com,BBC Arabic,3,England,Arabic,Media,1/16/2017
belfercenter[.]net,Belfer Center,1,USA,English,Academic,11/12/2018
bloomberq[.]com,Bloomberg,2,USA,English,Media,2/12/2017
braekingisraelnews[.]com,Breaking Israel News,0,Israel,English,Media,25/06/2018
breakingisraelnews[.]net,Breaking Israel News,7,Israel,English,Media,11/15/2016
brusslestimes[.]com,Brussels Time,5,Belgium,English,Media,4/10/2017
budapestbaecon[.]com,Budapest Beacon,3,Hungary,English/Hungarian,Media,11/6/2016
bundesergierung[.]de,Bundesregierung,1,Germany,German,Government,10/1/2016
com-news-world[.]site,BBC,0,UK,English,Media,12/23/2016
com-users[.]info,KSA MOFA spoof Twitter account,5,Saudi Arabia,Arabic,Social Network,11/9/2016
dawalhaq[.]com,Dawaalhaq ( Islamic News Agency ),0,,Arabic,Radical Islamist,4/10/2017
daylisabah[.]com,Daily Sabah,5,Turkey,English/Arabic,Media,10/19/2016
democraticcoalition[.]net,,0,,,Unknown,5/15/2017
elwataannews[.]com,El Watan News,6,Egypt,Arabic,Media,10/19/2016
emaratallyoum[.]com,emaratalyoum,4,UAE,Arabic,Media,10/20/2016
emaratalyuom[.]com,emaratalyoum,1,UAE,Arabic,Media,23/06/2018
