Date|Website|Author|Title|url|Archive|Language
6/10/2017|Medium - Personal|Tariq al-Shammari|Britain Sounds a Warning to Washington|https://medium.com/@TariqAlShammari/britain-sounds-warning-to-washington-5b7a730775be|https://archive.is/VxpCH|English
6/19/2017|Modern Ghana|Brian H. Hayden|A Qatari Punch of Britain in the Face of Trump by Tariq al-Shammari|https://www.modernghana.com/news/783206/a-qatari-punch-of-britain-in-the-face-of-trump.html|https://archive.is/ziOZW|English
6/19/2017|Sudanese Online|Tariq al-Shammari|A Qatari Punch of Britain in the Face of Trump by Tariq al-Shammari|http://sudaneseonline.com/board/15/msg/A-Qatari-Punch-of-Britain-in-the-Face-of-Trump--by-Tariq-al-Shammari-1497831822.htm|https://archive.is/n51eB|English
6/21/2017|Modern Ghana|Brian H. Hayden|Saudi Arabia’s interventionist policies and solidarity with Israel like UAE destroy Muslim unity|https://www.modernghana.com/news/783687/saudi-arabias-interventionist-policies-and-solidarity-with.html|https://archive.is/MIWlk|English
6/21/2017|Modern Ghana|Brian H. Hayden|Saudi Arabia’s bribe to ICAO for suspending Qatar’s voting rights|https://www.modernghana.com/news/783723/saudi-arabias-bribe-to-icao-for-suspending-qatars-voting-r.html|https://archive.is/CJw6n|English
6/21/2017|WN|Tariq al-Shammari|The production of 20 percent of America’s arms deal with Saudi Arabia by the RAFAEL in Israel|http://u.wn.com/2017/06/21/Ambassador_of_Qatar_to_US_says_no_worry_about_the_United_Sta/|https://web.archive.org/save/http://u.wn.com/2017/06/21/The_production_of_20_percent_of_America_s_arms_deal_with_Sau/|English
6/21/2017|WN|Tariq al-Shammari|Ambassador of Qatar to US says no worry about the United States|http://u.wn.com/2017/06/21/Ambassador_of_Qatar_to_US_says_no_worry_about_the_United_Sta/|https://archive.is/qsEo6|English
6/21/2017|WN|Tariq al-Shammari|The production of 20 percent of America’s arms deal with Saudi Arabia by the RAFAEL in Israel|http://u.wn.com/2017/06/21/The_production_of_20_percent_of_America_s_arms_deal_with_Sau/|https://web.archive.org/web/20170919205222/http://u.wn.com/2017/06/21/The_production_of_20_percent_of_America_s_arms_deal_with_Sau/|English
6/21/2017|WN|Tariq al-Shammari|The U.S. President Donald Trump congratulated Mohammad bin Salman|http://u.wn.com/2017/06/21/The_US_President_Donald_Trump_congratulated_Mohammad_bin_Sal/|https://archive.is/2BUWM|English
6/22/2017|Modern Ghana|Brian H. Hayden|Saudi Arabia: Emir of Qatar has relations with Israel, Palestinian and terrorist groups|https://www.modernghana.com/news/783981/saudi-arabia-emir-of-qatar-has-relations-with-israel-pales.html|https://archive.is/o5Y5V|English
